S.No.,Institute Name,Course,Branch,Category,Opening Rank,Closing Rank,Fee Structure,Interest
1,LNCT,BTech,CSE,UR,44260,113816,137100,"Problem-solving,Web & App development,Database,Programming,Networking"
2,LNCT,BTech,CSE,EWS,65418,133684,137100,"Problem-solving,Web & App development,Database,Programming,Networking"
3,LNCT,BTech,AIML,UR,44021,148753,123900,"AI,NLP,Probability & Statistics,Computer Vision,ML"
4,LNCT,BTech,CSE,OBC,61400,155729,137100,"Problem-solving,Web & App development,Database,Programming,Networking"
5,LNCT,BTech,IOT,UR,113933,185365,123900,"Hardware-software,Sensors,Wireless Communication,Real -world problems,IOT technology"
6,LNCT,BTech,AIDS,UR,38919,203518,123900,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
7,LNCT,BTech,AIML,EWS,137980,227692,123900,"AI,NLP,Probability & Statistics,Computer Vision,ML"
8,LNCT,BTech,AIDS,EWS,140497,327786,123900,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
9,LNCT,BTech,IOT,EWS,138904,328213,123900,"Hardware-software,Sensors,Wireless Communication,Real -world problems,IOT technology"
10,LNCT,BTech,AIML,OBC,125181,347636,123900,"AI,NLP,Probability & Statistics,Computer Vision,ML"
11,LNCT,BTech,EC,UR,118116,421963,132600,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
12,LNCT,BTech,EC,EWS,258591,489158,132600,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
13,LNCT,BTech,CSE,UR,511536,511536,137100,"Problem-solving,Web & App development,Database,Programming,Networking"
14,LNCT,BTech,AIML,ST,532984,532984,123900,"AI,NLP,Probability & Statistics,Computer Vision,ML"
15,LNCT,BTech,AIDS,OBC,162643,565829,123900,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
16,LNCT,BTech,EEE,UR,174979,577995,100000,"Electronic devices,Integrated Circuits,Embedded Systems & IOT,Power Electronics,Digital Design"
17,LNCT,BTech,EE,UR,168939,606243,100000,"Power System,Circuit Analysis,Signal Processing,Instrumentation,Control Systems"
18,LNCT,BTech,CE,EWS,606587,606587,100000,"Infrastructure Development,Construction,Geotechnical,Environmental impact assessment,Project management"
19,LNCT,BTech,IOT,OBC,140073,612606,123900,"Hardware-software,Sensors,Wireless Communication,Real -world problems,IOT technology"
20,LNCT,BTech,AIDS,SC,280188,641554,123900,"Big Data,Data Mining,Statistical Methods,AI,Predictive analysis"
21,LNCT,BTech,EEE,EWS,567746,685216,100000,"Electronic devices,Integrated Circuits,Embedded Systems & IOT,Power Electronics,Digital Design"
22,LNCT,BTech,CE,SC,568612,692038,100000,"Infrastructure Development,Construction,Geotechnical,Environmental impact assessment,Project management"
23,LNCT,BTech,CE,ST,704608,704608,100000,"Infrastructure Development,Construction,Geotechnical,Environmental impact assessment,Project management"
24,LNCT,BTech,EE,SC,728788,728788,100000,"Power System,Circuit Analysis,Signal Processing,Instrumentation,Control Systems"
25,LNCT,BTech,IOT,ST,758858,758858,123900,"Hardware-software,Sensors,Wireless Communication,Real -world problems,IOT technology"
26,LNCT,BTech,EC,SC,807738,807738,132600,"Networking,Computer Hardware,Telecommunications,Robotics,Microprocessors"
27,LNCT,BTech,ME,EWS,521576,828244,100000,"Machine design,Fluid dynamics & Thermodynamics,Nanotechnology,Manufacturing,Automotive"
28,LNCT,BTech,AIML,SC,313385,829069,123900,"AI,NLP,Probability & Statistics,Computer Vision,ML"
29,LNCT,BTech,ME,SC,477025,832015,100000,"Machine design,Fluid dynamics & Thermodynamics,Nanotechnology,Manufacturing,Automotive"
30,LNCT,BTech,EEE,OBC,616298,841547,100000,"Electronic devices,Integrated Circuits,Embedded Systems & IOT,Power Electronics,Digital Design"
