S.No.,Institute Name,Course,Branch,Category,Opening Rank,Closing Rank,Fee Structure,Interest
1,LNCT,BTech,CSE,UR,44260,113816,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
2,LNCT,BTech,CSE,EWS,65418,133684,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
3,LNCT,BTech,AIML,UR,44021,148753,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
4,LNCT,BTech,CSE,OBC,61400,155729,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
5,LNCT,BTech,IOT,UR,113933,185365,123900,"Home Automation,Technology,Programming,Cloud Computing,Internet of Things (IoT)"
6,LNCT,BTech,AIDS,UR,38919,203518,123900,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
7,LNCT,BTech,AIML,EWS,137980,227692,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
8,LNCT,BTech,AIDS,EWS,140497,327786,123900,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
9,LNCT,BTech,IOT,EWS,138904,328213,123900,"Home Automation,Technology,Programming,Cloud Computing,Internet of Things (IoT)"
10,LNCT,BTech,AIML,OBC,125181,347636,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
11,LNCT,BTech,EC,UR,118116,421963,132600,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
12,LNCT,BTech,EC,EWS,258591,489158,132600,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
13,LNCT,BTech,CSE,UR,511536,511536,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
14,LNCT,BTech,AIML,ST,532984,532984,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
15,LNCT,BTech,AIDS,OBC,162643,565829,123900,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
16,LNCT,BTech,EEE,UR,174979,577995,100000,"Digital Design,Physics,Power System,Mathematics,Embedded Systems & IOT"
17,LNCT,BTech,EE,UR,168939,606243,100000,"Mathematics,Instrumentation,Physics,Simulation,Problem-Solving"
18,LNCT,BTech,CE,EWS,606587,606587,100000,"Problem-Solving,Construction,Physics,Design,Mathematics"
19,LNCT,BTech,IOT,OBC,140073,612606,123900,"Home Automation,Technology,Programming,Cloud Computing,Internet of Things (IoT)"
20,LNCT,BTech,AIDS,SC,280188,641554,123900,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
21,LNCT,BTech,EEE,EWS,567746,685216,100000,"Digital Design,Physics,Power System,Mathematics,Embedded Systems & IOT"
22,LNCT,BTech,CE,SC,568612,692038,100000,"Problem-Solving,Construction,Physics,Design,Mathematics"
23,LNCT,BTech,CE,ST,704608,704608,100000,"Problem-Solving,Construction,Physics,Design,Mathematics"
24,LNCT,BTech,EE,SC,728788,728788,100000,"Mathematics,Instrumentation,Physics,Simulation,Problem-Solving"
25,LNCT,BTech,IOT,ST,758858,758858,123900,"Home Automation,Technology,Programming,Cloud Computing,Internet of Things (IoT)"
26,LNCT,BTech,EC,SC,807738,807738,132600,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
27,LNCT,BTech,ME,EWS,521576,828244,100000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
28,LNCT,BTech,AIML,SC,313385,829069,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
29,LNCT,BTech,ME,SC,477025,832015,100000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
30,LNCT,BTech,EEE,OBC,616298,841547,100000,"Digital Design,Physics,Power System,Mathematics,Embedded Systems & IOT"
31,LNCT,BTech,CE,OBC,308060,855881,100000,"Problem-Solving,Construction,Physics,Design,Mathematics"
32,LNCT,BTech,CSE,ST,465935,858990,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
33,LNCT,BTech,EE,EWS,730988,869314,100000,"Mathematics,Instrumentation,Physics,Simulation,Problem-Solving"
34,LNCT,BTech,EE,OBC,634792,869496,100000,"Mathematics,Instrumentation,Physics,Simulation,Problem-Solving"
35,LNCT,BTech,EC,OBC,200299,874946,132600,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
36,LNCT,BTech,ME,UR,133903,885933,100000,"Physics,Analysis,Automobiles,Problem-Solving,Research"
37,LNCT,BTech,CSE,SC,167355,897844,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
