S.No.,Institute Name,Course,Branch,Category,Opening Rank,Closing Rank,Fee Structure,Interest
1,LNCT,BTech,Computer Science and Engineering (CSE),UR,44260,113816,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
2,LNCT,BTech,Computer Science and Engineering (CSE),EWS,65418,133684,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
3,LNCT,BTech,CSE-Artificial Intelligence and Machine Learning (AIML),UR,44021,148753,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
4,LNCT,BTech,Computer Science and Engineering (CSE),OBC,61400,155729,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
5,LNCT,BTech,CSE-Internet of Things (IOT),UR,113933,185365,123900,"Home Automation,Technology,Programming,Cloud Computing,Internet of Things (IoT)"
6,LNCT,BTech,CSE-Artificial Intelligence and Data Science (AIDS),UR,38919,203518,123900,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
7,LNCT,BTech,CSE-Artificial Intelligence and Machine Learning (AIML),EWS,137980,227692,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
8,LNCT,BTech,CSE-Artificial Intelligence and Data Science (AIDS),EWS,140497,327786,123900,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
9,LNCT,BTech,CSE-Internet of Things (IOT),EWS,138904,328213,123900,"Home Automation,Technology,Programming,Cloud Computing,Internet of Things (IoT)"
10,LNCT,BTech,CSE-Artificial Intelligence and Machine Learning (AIML),OBC,125181,347636,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
11,LNCT,BTech,Electrical and Computer Engineering (ECE),UR,118116,421963,132600,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
12,LNCT,BTech,Electrical and Computer Engineering (ECE),EWS,258591,489158,132600,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
13,LNCT,BTech,Computer Science and Engineering (CSE),UR,511536,511536,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
14,LNCT,BTech,CSE-Artificial Intelligence and Machine Learning (AIML),ST,532984,532984,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
15,LNCT,BTech,CSE-Artificial Intelligence and Data Science (AIDS),OBC,162643,565829,123900,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
16,LNCT,BTech,Electrical and Electronics Engineering (EEE),UR,174979,577995,100000,"Digital Design,Physics,Power System,Mathematics,Embedded Systems & IOT"
17,LNCT,BTech,Electrical Engineering (EE),UR,168939,606243,100000,"Mathematics,Instrumentation,Physics,Simulation,Problem-Solving"
18,LNCT,BTech,Civil Engineering (CE),EWS,606587,606587,100000,"Mechanics,Construction,Physics,Design,Mathematics"
19,LNCT,BTech,CSE-Internet of Things (IOT),OBC,140073,612606,123900,"Home Automation,Technology,Programming,Cloud Computing,Internet of Things (IoT)"
20,LNCT,BTech,CSE-Artificial Intelligence and Data Science (AIDS),SC,280188,641554,123900,"Machine Learning,Analytics,Programming,Mathematics,Analysis"
21,LNCT,BTech,Electrical and Electronics Engineering (EEE),EWS,567746,685216,100000,"Digital Design,Physics,Power System,Mathematics,Embedded Systems & IOT"
22,LNCT,BTech,Civil Engineering (CE),SC,568612,692038,100000,"Mechanics,Construction,Physics,Design,Mathematics"
23,LNCT,BTech,Civil Engineering (CE),ST,704608,704608,100000,"Mechanics,Construction,Physics,Design,Mathematics"
24,LNCT,BTech,Electrical Engineering (EE),SC,728788,728788,100000,"Mathematics,Instrumentation,Physics,Simulation,Problem-Solving"
25,LNCT,BTech,CSE-Internet of Things (IOT),ST,758858,758858,123900,"Home Automation,Technology,Programming,Cloud Computing,Internet of Things (IoT)"
26,LNCT,BTech,Electrical and Computer Engineering (ECE),SC,807738,807738,132600,"Networking,Analysis,Robotics,Mathematics,Telecommunications"
27,LNCT,BTech,Mechanical Engineering (ME),EWS,521576,828244,100000,"Physics,Analysis,Automobiles,Mechanics,Research"
28,LNCT,BTech,CSE-Artificial Intelligence and Machine Learning (AIML),SC,313385,829069,123900,"Analysis,Data,Programming,Machine Learning,Artificial Intelligence"
29,LNCT,BTech,Mechanical Engineering (ME),SC,477025,832015,100000,"Physics,Analysis,Automobiles,Mechanics,Research"
30,LNCT,BTech,Electrical and Electronics Engineering (EEE),OBC,616298,841547,100000,"Digital Design,Physics,Power System,Mathematics,Embedded Systems & IOT"
31,LNCT,BTech,Civil Engineering (CE),OBC,308060,855881,100000,"Mechanics,Construction,Physics,Design,Mathematics"
32,LNCT,BTech,Computer Science and Engineering (CSE),ST,465935,858990,137100,"Problem-Solving,Gaming,Programming,Creativity,Technology"
33,LNCT,BTech,Electrical Engineering (EE),EWS,730988,869314,100000,"Mathematics,Instrumentation,Physics,Simulation,Problem-Solving"
34,LNCT,BTech,Electrical Engineering (EE),OBC,634792,869496,100000,"Mathematics,Instrumentation,Physics,Simulation,Problem-Solving"
